date,team1,team2,location,group,ko_round,team1_score,team2_score
6/11/21,Italy,Turkey,Italy,A,,,
6/12/21,Wales,Switzerland,Azerbaijan,A,,,
6/16/21,Turkey,Wales,Azerbaijan,A,,,
6/16/21,Italy,Switzerland,Italy,A,,,
6/20/21,Switzerland,Turkey,Azerbaijan,A,,,
6/20/21,Italy,Wales,Italy,A,,,
6/12/21,Denmark,Finland,Denmark,B,,,
6/12/21,Russia,Belgium,Russia,B,,,
6/16/21,Russia,Finland,Russia,B,,,
6/17/21,Denmark,Belgium,Denmark,B,,,
6/21/21,Denmark,Russia,Denmark,B,,,
6/21/21,Finland,Belgium,Russia,B,,,
6/13/21,Austria,North Macedonia,Romania,C,,,
6/13/21,Netherlands,Ukraine,Netherlands,C,,,
6/17/21,Ukraine,North Macedonia,Romania,C,,,
6/17/21,Netherlands,Austria,Netherlands,C,,,
6/21/21,Netherlands,North Macedonia,Netherlands,C,,,
6/21/21,Ukraine,Austria,Romania,C,,,
6/14/21,England,Croatia,England,D,,,
6/14/21,Scotland,Czech Republic,Scotland,D,,,
6/18/21,Croatia,Czech Republic,Scotland,D,,,
6/18/21,England,Scotland,England,D,,,
6/22/21,Scotland,Croatia,Scotland,D,,,
6/22/21,England,Czech Republic,England,D,,,
6/14/21,Poland,Slovakia,Russia,E,,,
6/14/21,Spain,Sweden,Spain,E,,,
6/18/21,Sweden,Slovakia,Russia,E,,,
6/19/21,Spain,Poland,Spain,E,,,
6/23/21,Slovakia,Spain,Spain,E,,,
6/23/21,Sweden,Poland,Russia,E,,,
6/15/21,Hungary,Portugal,Hungary,F,,,
6/15/21,France,Germany,Germany,F,,,
6/19/21,Hungary,France,Hungary,F,,,
6/19/21,Portugal,Germany,Germany,F,,,
6/23/21,Portugal,France,Hungary,F,,,
6/23/21,Germany,Hungary,Hungary,F,,,
6/27/21,,,Spain,,R16 1,,
6/26/21,,,England,,R16 2,,
6/28/21,,,Romania,,R16 3,,
6/28/21,,,Denmark,,R16 4,,
6/29/21,,,Scotland,,R16 5,,
6/29/21,,,England,,R16 6,,
6/27/21,,,Hungary,,R16 7,,
6/26/21,,,Netherlands,,R16 8,,
7/2/21,,,Germany,,QF 1,,
7/2/21,,,Russia,,QF 2,,
7/3/21,,,Italy,,QF 3,,
7/3/21,,,Azerbaijan,,QF 4,,
7/6/21,,,England,,SF 1,,
7/7/21,,,England,,SF 2,,
7/11/21,,,England,,FINAL,,